nome,descricao,preco,quantidade_inicial
Filtro de Óleo,Responsável por reter impurezas do óleo do motor,29.90,1
Pastilha de Freio,Conjunto de atrito usado para frear o veículo,129.99,2
Vela de Ignição,Inicia a combustão da mistura ar-combustível no motor,24.50,3
Correia Dentada,Sincroniza o movimento do virabrequim e comando de válvulas,89.90,4
Amortecedor Dianteiro,Absorve impactos e garante estabilidade do veículo,299.00,5
Filtro de Ar,Filtra o ar que entra no motor,39.90,6
Bateria 60Ah,Fornece energia elétrica para partida e sistemas do carro,459.00,7
Farol Dianteiro,Ilumina a via e garante visibilidade noturna,249.90,8
Sensor de Oxigênio,Controla a mistura de ar e combustível,199.99,9
Lâmpada H7,Usada em faróis e auxiliares,18.99,10

